date,close
2022-02-14,116.9602
2022-02-15,115.6324
2022-02-16,116.3177
2022-02-17,117.183
2022-02-18,118.4166
2022-02-22,118.725
2022-02-23,117.0887
2022-02-24,117.1658
2022-02-25,117.2515
2022-02-28,119.8215
2022-03-01,121.2068
2022-03-02,117.0637
2022-03-03,118.256
2022-03-04,120.2976
2022-03-07,119.3797
2022-03-08,118.1788
2022-03-09,117.0208
2022-03-10,115.3395
2022-03-11,115.7255
2022-03-14,113.0234
2022-03-15,112.8261
2022-03-16,113.9327
2022-03-17,113.0835
2022-03-18,114.4645
2022-03-21,111.8139
2022-03-22,110.3814
2022-03-23,112.8004
2022-03-24,111.9169
2022-03-25,110.3643
2022-03-28,111.3078
2022-03-29,112.1485
2022-03-30,113.0234
2022-03-31,113.2979
2022-04-01,113.7292
2022-04-04,112.9388
2022-04-05,110.3873
2022-04-06,109.4938
2022-04-07,108.669
2022-04-08,107.4921
2022-04-11,105.791
2022-04-12,105.645
2022-04-13,105.8597
2022-04-14,103.7377
2022-04-18,103.2223
2022-04-19,102.4491
2022-04-20,104.5109
2022-04-21,103.7377
2022-04-22,103.0848
2022-04-25,104.1158
2022-04-26,105.1639
2022-04-27,103.8151
2022-04-28,103.9697
2022-04-29,102.6209
2022-05-02,100.8421
2022-05-03,101.5219
2022-05-04,102.0813
2022-05-05,99.2844
2022-05-06,97.8215
2022-05-09,98.682
2022-05-10,99.577
2022-05-11,101.4961
2022-05-12,101.3068
2022-05-13,99.8094
2022-05-16,99.7061
2022-05-17,98.5013
2022-05-18,100.6011
2022-05-19,100.8421
2022-05-20,101.9867
2022-05-23,100.3085
2022-05-24,102.2879
2022-05-25,102.6923
2022-05-26,102.2276
2022-05-27,102.4772
2022-05-31,100.3085
2022-06-01,100.1939
2022-06-02,100.2456
2022-06-03,100.0301
2022-06-06,98.1852
2022-06-07,99.2456
2022-06-08,98.3662
2022-06-09,98.6938
2022-06-10,98.0817
2022-06-13,95.004
2022-06-14,93.8057
2022-06-15,95.5557
2022-06-16,96.3144
2022-06-17,96.6248
2022-06-21,94.9868
2022-06-22,97.5989
2022-06-23,98.4007
2022-06-24,97.0386
2022-06-27,96.2109
2022-06-28,96.6592
2022-06-29,98.1679
2022-06-30,99.03
2022-07-01,100.0467
2022-07-05,100.8328
2022-07-06,99.1397
2022-07-07,98.2673
2022-07-08,97.1789
2022-07-11,98.8547
2022-07-12,99.4421
2022-07-13,100.5823
2022-07-14,99.7617
2022-07-15,100.3232
